platform,layout_style,default_section_order,typography_vibe,cta_model,feature_emphasis,template_depth_signal,notes
zola,"clean editorial, balanced whitespace","Hero > Story > Schedule > Travel > Registry > RSVP","modern serif+sans mix","Start + browse templates","all-in-one planning + registry","high (60 template links captured in deep run)","Strong design catalog depth and discoverability"
theknot,"mainstream polished marketplace style","Hero > Planning tools > Templates > Registry","safe sans + wedding script accents","Get started + planning entry","marketplace trust + planning ecosystem","medium (template links blocked in capture)","High trust from brand; less link-level evidence in artifacts"
appycouple,"feature-dense premium utility","Hero > Features > App value > customization","modern sans, product-led","Try/build emphasis","mobile app + privacy + multi-event RSVP","medium (template links blocked in capture)","Deep operational feature storytelling"
withjoy,"modular all-in-one utility","Hero > feature grid > registry/guest list modules","friendly modern sans","Explore module + start","website+registry+guestlist bundles","medium (design hubs captured, links mostly blocked)","Excellent intent-based feature entry"
weddingwire,"planning hub + vendor adjacency","Hero > planning and website entry > registry","neutral sans","Start planning","vendor marketplace + planning tools","medium (hub links, limited deep links)","Trust via ecosystem breadth"
minted,"design-first commerce blend","Hero > template designs > stationery pairing","editorial serif + modern sans","Shop/explore/start","design quality + stationery matching","medium-high (7 template links captured)","Premium design perception"
blissandbone,"luxury editorial","Hero > design showcase > features","high-contrast editorial serif","Design-first CTA","aesthetic differentiation","low-medium (2 links captured)","Strong style signal, lower discoverability evidence"
hitched,"utility planning baseline","Hero > website/planning tools","standard sans","Get started","planning utility","medium (hub-only in captures)","Functional but less distinctive visual language"
greenvelope,"invitations + digital comms adjacent","Hero > designs > event tools","clean sans","Get started / explore","invites + event messaging","medium (hub-only in captures)","Communication-oriented positioning"
wedsites,"simple planning utility","Hero > templates > builder","neutral sans","Start website","simplicity","low-medium (4 hub links)","Smaller catalog signal in captured artifacts"
