name,inferred_styles,inferred_colors,strategic_note
"Romantic Calligraphy - Grey","general romantic","Grey","motif/color led"
"Elegant Glow - Blue","classic","Blue","motif/color led"
"Beloved Floral - Red","floral","Red","motif/color led"
"Marble and Gold - Green","formal/luxe","Green; Gold","stationery/luxe finish"
"Black Tie Initial - White","formal/luxe","White; Black","stationery/luxe finish"
"Painted Beach","destination/place","unspecified","place/travel identity"
"Aura Love - Purple","general romantic","Purple","motif/color led"
"Fairytale Sparkle - Cream & Gold","formal/luxe; retro/vintage","Gold; Cream","stationery/luxe finish"
"Painted Ethereal - Green","general romantic","Green","motif/color led"
"Botanica","general romantic","unspecified","motif/color led"
"Rustic Vines","botanical","unspecified","motif/color led"
"Elegant Damask - Cream & Gold","formal/luxe; classic","Gold; Cream","stationery/luxe finish"
"Scripted Announcement - Licorice","general romantic","Licorice","motif/color led"
"Gilded Lehenga - Pink & Gold","formal/luxe; cultural/religious","Pink; Gold","identity-specific motif"
"Classically Stated - Pure White & Gold","formal/luxe; classic","White; Gold","stationery/luxe finish"
"Graceful Botanical - Pink","botanical","Pink","motif/color led"
"Monogram Arch - Champagne & Gold","formal/luxe","Gold; Champagne","stationery/luxe finish"
"Accent Leaf - Cream","botanical","Cream","motif/color led"
"Botanical Branches - Black","botanical","Black","motif/color led"
"Soft Pampas - White","general romantic","White","motif/color led"
"Mountain Escape - Black & Gold","formal/luxe; destination/place","Black; Gold","place/travel identity"
"Simple Retro Daisy - Sunflower","floral; retro/vintage","unspecified","motif/color led"
"In Bloom - Blue","general romantic","Blue","motif/color led"
"Dainty Heart - Pure White & Gold","formal/luxe","White; Gold","stationery/luxe finish"
"Dainty Fairytale Greenery - Dark Night","botanical; retro/vintage","Green","motif/color led"
"Painted Leaves","botanical","unspecified","motif/color led"
"Fairytale Frame - White & Gold","formal/luxe; retro/vintage","White; Gold","stationery/luxe finish"
"Elegant Swans - Ivory","classic","Ivory","motif/color led"
"Woodsy Ferns - Dark","botanical","unspecified","motif/color led"
"Wintry Floral","floral","unspecified","motif/color led"
"Flourishing Love - White & Gold","formal/luxe","White; Gold","stationery/luxe finish"
"Floral Frame - Yellow & Gold","floral; formal/luxe","Gold; Yellow","stationery/luxe finish"
"Pastel Garden - Pink Cotton","floral","Pink","motif/color led"
"Skeleton Spirits - Licorice","seasonal/theme","Licorice","motif/color led"
"Sparkling Romance - Blue","general romantic","Blue","motif/color led"
"Kaleidoscope Tapestry - Brown","general romantic","Brown","motif/color led"
"Triptych Photo - Pure White","editorial/minimal","White","photo/typography led"
"Floral Bouquet - White","floral","White","motif/color led"
"Graceful Chuppah - White","cultural/religious","White","identity-specific motif"
"Western Denim - Blue","destination/place","Blue","place/travel identity"
"Vintage Regency Monogram Frame - Pure White & Gold","formal/luxe; retro/vintage","White; Gold","stationery/luxe finish"
"Timeless Wildflowers - Orange","floral; classic","Orange","motif/color led"
"Gilded Geometric - Black & Gold","formal/luxe","Black; Gold","stationery/luxe finish"
"Tropical Glamour - Orange & Gold","formal/luxe; destination/place","Gold; Orange","place/travel identity"
"Modern Brushstroke - Blue","general romantic","Blue","motif/color led"
"Botanical Lemon","botanical","unspecified","motif/color led"
"Classic Calligraphy - Black","classic","Black","motif/color led"
"Abstract Beach - Blue","destination/place","Blue","place/travel identity"
"Romantic Vintage Luxury Foil - Moody Blue & Gold","formal/luxe; retro/vintage","Blue; Gold","stationery/luxe finish"
"Landscape Gallery - Pure White","editorial/minimal","White","photo/typography led"
"Glamorous Crown Monogram Crest by Bridgerton - Green & Gold","formal/luxe","Green; Gold","stationery/luxe finish"
"Mountain Sky - Blue & Gold","formal/luxe; destination/place","Blue; Gold","place/travel identity"
"Modern Contrast - Blue","editorial/minimal","Blue","photo/typography led"
"Cordillera - Green","general romantic","Green","motif/color led"
"Golden Age - Cream","formal/luxe","Gold; Cream","stationery/luxe finish"
"Gilded Botanical - Green & Gold","botanical; formal/luxe","Green; Gold","stationery/luxe finish"
"Mushroom Garden Fairytale - Dark Green","floral; retro/vintage; playful/unique","Green","motif/color led"
"Floral Border - Grey","floral","Grey","motif/color led"
"Medieval Elegance - Purple & Silver","general romantic","Purple","motif/color led"
"Vintage Botanical Sketch - Dark Camo","botanical; retro/vintage","unspecified","motif/color led"
"Arboretum Archway - Black & Gold","botanical; formal/luxe","Black; Gold","stationery/luxe finish"
"Timeless Typography - White","classic; editorial/minimal","White","photo/typography led"
"Checked - Cream","playful/unique","Cream","motif/color led"
"Intricate Vintage - Pink","retro/vintage","Pink","motif/color led"
"Whimsical Foliage - Pink & Gold","formal/luxe","Pink; Gold","stationery/luxe finish"
"Gilded Rustic - Cream & Gold","formal/luxe","Gold; Cream","stationery/luxe finish"
"Emerald Forest Foil - Hunter Green & Gold","formal/luxe","Green; Gold; Hunter","stationery/luxe finish"
"Elegant Greenery Watercolor Foil - Champagne & Gold","botanical; formal/luxe; classic","Green; Gold; Champagne","stationery/luxe finish"
"Wild Pansies - Cream","general romantic","Cream","motif/color led"
"Blooming Radiance - Gold","formal/luxe","Gold","stationery/luxe finish"
"Wild Daisies - Yellow","general romantic","Yellow","motif/color led"
"Cottage Wildflowers - Blue","floral; seasonal/theme","Blue","motif/color led"
"Strung Lights","general romantic","unspecified","motif/color led"
"Western Floral - Orange","floral; destination/place","Orange","place/travel identity"
"Lavish Palm - White & Gold","botanical; formal/luxe; destination/place","White; Gold","place/travel identity"
"Vibrant Floral - Pink","floral; playful/unique","Pink","motif/color led"
"Modern Initials - Black","general romantic","Black","motif/color led"
"Floral Adornment - Blue","floral","Blue","motif/color led"
"Modern Organic - Orange","general romantic","Orange","motif/color led"
"Lavender Sage","general romantic","Lavender","motif/color led"
"Side Panel - Fawn","general romantic","unspecified","motif/color led"
"Photo Elopement - Linen","editorial/minimal","Linen","photo/typography led"
"Colorful Statement - White","playful/unique","White","motif/color led"
"Regal Pampas - Green & Gold","formal/luxe","Green; Gold","stationery/luxe finish"
"Bohemian Bouquet - Peach Fuzz & Gold","floral; formal/luxe","Gold","stationery/luxe finish"
"Stefana Crowns - Blue & Gold","formal/luxe; cultural/religious","Blue; Gold","identity-specific motif"
"Gilded Florals - Pink & Gold","floral; formal/luxe","Pink; Gold","stationery/luxe finish"
